API_Label,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,Sec_Twn_Rng,lat1,long1,Assessor_acct,stripper_flg,mill_cd,tot_mill,asd_val,Tax_Est
05-013-06244,9/17/1990,4949,SI,11/17/2022,36,2N,69W,36-2N-69W,40.09201,-105.05883,P0259892    ,N,2794,101.278,27276,2762.458728
05-013-06245,1/13/1991,5226,PR,10/1/2022,26,1N,69W,26-1N-69W,40.01797,-105.07819,P0265066    ,Y,4531,93.963,35833,3366.976179
05-013-06246,6/25/1991,5163,SI,11/1/2022,26,1N,69W,26-1N-69W,40.02483,-105.0874,P0259895    ,N,1404,168.048,3977,668.326896
05-013-06247,4/16/1991,5095,PA,7/26/2021,36,1N,69W,36-1N-69W,40.00433,-105.05979,P0259893    ,N,1420,172.904,46,7.953584
05-013-06248,4/26/1991,5099,SI,3/1/2022,2,1N,69W,2-1N-69W,40.083295,-105.089654,P0259894    ,N,4794,101.278,5453,552.268934
05-013-06249,,5052,SI,11/1/2022,35,2N,69W,35-2N-69W,40.09018,-105.089,P0259900    ,N,2794,101.278,27284,2763.268952
05-013-06250,6/15/1991,4961,SI,10/1/2022,36,2N,69W,36-2N-69W,40.09291,-105.06253,P0259898    ,N,2794,101.278,26338,2667.459964
05-013-06252,7/22/1991,5118,PA,10/10/2013,25,1N,69W,25-1N-69W,40.01933,-105.06126,P0259899    ,N,,102.992,89249,9191.933008
05-013-06253,,5147,SI,8/1/2022,1,1S,69W,1-1S-69W,39.98992,-105.0573,P0260807    ,N,4208,79.216,29856,2365.072896
05-013-06254,10/17/1991,5134,PA,2/15/2019,36,1N,69W,36-1N-69W,40.00348,-105.06957,P0259897    ,N,1421,175.404,5149,903.155196
05-013-06256,,5136,SI,10/1/2021,12,1S,69W,12-1S-69W,39.98396,-105.06759,P0259896    ,N,4208,79.216,26338,2086.391008
05-013-06259,2/25/1992,5180,SI,5/1/2022,27,1N,69W,27-1N-69W,40.02384,-105.10526,P0265032    ,N,4199,92.963,3977,369.713851
05-013-06260,,5169,PA,7/12/2013,12,1S,69W,12-1S-69W,39.98215,-105.05872,P0265021    ,Y,112,96.432,34958,3371.069856
05-013-06261,,5262,PA,8/1/2014,13,1S,69W,13-1S-69W,39.96788,-105.06543,P0265027    ,N,4290,91.454,77467,7084.667018
05-013-06262,6/13/1992,5273,PA,8/4/2021,14,1S,69W,14-1S-69W,39.96688,-105.07395,P0265037    ,N,4208,79.216,34093,2700.711088
05-013-06263,7/1/1992,5268,SI,10/1/2022,14,1S,69W,14-1S-69W,39.959898,-105.077273,P0265036    ,N,4290,91.454,6179,565.094266
