mill_cd,codes,type,code_type,dscr,tax_dist,name,curr,tot_mill,percent_rounded,,,mill_cd
1404,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,168.048,11.76,,,
1405,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,97.306,20.3,,,
1406,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,107.872,18.32,,,
1407,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,164.01,12.05,,,
1410,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,106.872,18.49,,,
1411,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,172.899,11.43,,,
1412,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,128.368,15.39,,,
1413,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.125,21.22,,,
1414,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,115.187,17.15,,,
1417,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,174.157,11.34,,,
1418,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.125,20.99,,,
1419,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,172.214,11.47,,,
1420,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,172.904,11.43,,,
1421,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,175.404,11.26,,,
1422,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.053,17.95,,,
1423,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,124.125,15.92,,,
1424,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.806,21.06,,,
1425,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.806,20.84,,,
1426,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,106.872,18.49,,,
1427,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,106.872,18.49,,,
1428,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.053,17.95,,,
1429,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,109.321,18.07,,,
1430,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.321,17.91,,,
1431,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,103.107,19.16,,,
1432,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.273,21.18,,,
